Nº	Nombre	Total	Pormil
1	MARIA CARMEN	28317	48.57
2	MARIA	20034	34.37
3	CARMEN	13612	23.35
4	MARIA DOLORES	9214	15.81
5	MARIA PILAR	8272	14.19
6	JOSEFA	82	14.07
7	MARIA JOSE	8194	14.06
8	ANA MARIA	7458	12.79
9	MARIA TERESA	7429	12.74
10	MANUELA	7111	12.20
11	MARIA ISABEL	6754	11.59
12	LUCIA	6556	11.25
13	DOLORES	6143	10.54
14	LAURA	605	10.38
15	MARIA JESUS	5595	9.60
16	MARIA LUISA	559	9.59
17	SARA	5345	9.17
18	CRISTINA	5061	8.68
19	MARIA ANGELES	4973	8.53
20	MERCEDES	4884	8.38
21	PAULA	4814	8.26
22	ANA	4648	7.97
23	MARTA	4576	7.85
24	ISABEL	4366	7.49
25	MARIA JOSEFA	4331	7.43
26	ROSA MARIA	3934	6.75
27	BEATRIZ	3759	6.45
28	PATRICIA	3704	6.35
29	RAQUEL	3552	6.09
30	ALBA	3514	6.03
31	PILAR	3467	5.95
32	MONICA	3413	5.85
33	MARIA MERCEDES	3293	5.65
34	JOSEFINA	3192	5.48
35	ANDREA	306	5.25
36	ELENA	3011	5.17
37	CONCEPCION	2932	5.03
38	SILVIA	2807	4.82
39	MARIA ELENA	2679	4.60
40	MARIA LUZ	2616	4.49
41	SUSANA	2573	4.41
42	MARIA MAR	252	4.32
43	NATALIA	2405	4.13
44	SONIA	2388	4.10
45	JULIA	2369	4.06
46	IRIA	2362	4.05
47	NOELIA	236	4.05
48	SANDRA	2354	4.04
49	ALICIA	2315	3.97
50	MARIA ESTHER	221	3.79
51	MARINA	22	3.77
52	ROSA	2196	3.77
53	IRENE	2194	3.76
54	SOFIA	217	3.72
55	TERESA	2149	3.69
56	CONSUELO	2114	3.63
57	EVA MARIA	2102	3.61
58	EVA	2041	3.50
59	INES	2041	3.50
60	MARIA BELEN	2022	3.47
61	MARGARITA	1982	3.40
62	MARIA CONCEPCION	1954	3.35
63	CARLA	1952	3.35
64	LORENA	1949	3.34
65	ROCIO	1945	3.34
66	ANA ISABEL	1896	3.25
67	NEREA	1857	3.19
68	ANGELA	1853	3.18
69	VERONICA	1851	3.18
70	MARIA VICTORIA	1848	3.17
71	MARIA CRISTINA	1814	3.11
72	CELIA	1797	3.08
73	ANA BELEN	1792	3.07
74	PURIFICACION	1789	3.07
75	ANTIA	1772	3.04
76	ANTONIA	1761	3.02
77	YOLANDA	174	2.99
78	NURIA	1722	2.95
79	NOA	1703	2.92
80	MARIA BEGOÑA	1627	2.79
81	MARIA SOLEDAD	1615	2.77
82	MARIA ROSARIO	1566	2.69
83	FRANCISCA	1554	2.67
84	ELVIRA	1466	2.52
85	VANESA	144	2.47
86	TANIA	1418	2.43
87	UXIA	1415	2.43
88	CAROLINA	1396	2.40
89	CLAUDIA	1384	2.37
90	MARIA MANUELA	135	2.32
91	DANIELA	1331	2.28
